production,p_per_m2,panel_area,facade_area,total_panel_area,air_temp_mean,air_temp_std,cloud_opacity_mean,cloud_opacity_min,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,cloud_opacity_max,dni_mean,dni_std,dni_q3,dni_max,ghi_mean,ghi_std,ghi_q3,ghi_max,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_mean,relative_humidity_std,relative_humidity_min,relative_humidity_q1
63.78699999999988,109.6,1.91,498.0,405.0,-3.574468085106383,2.7086390040745707,51.87234042553192,0.0,43.1,55.7,65.45,74.7,2.4680851063829787,7.560915127007896,0.0,33,70.91489361702128,101.247829775396,129.0,338,69.29787234042553,99.10839803261904,124.5,338,56.38297872340426,3.7801149711602258,50.7,54.1
71.98393750000011,109.6,1.91,498.0,405.0,-2.1875,1.5250566784026176,41.46875,8.3,27.85,36.2,58.025,83.4,47.97916666666666,136.13142735674373,0.0,583,88.8125,131.77473626238557,157.75,457,100.85416666666669,161.42174041975213,154.5,642,69.99166666666666,16.851767169575677,53.7,57.05
28.955062500000107,109.6,1.91,498.0,405.0,0.4166666666666667,2.89411238980498,39.89375,12.9,22.5,39.900000000000006,56.325,72.8,3.6666666666666665,19.31743048563592,0.0,129,80.66666666666667,118.60991550767407,149.25,353,79.33333333333333,118.05738477236729,144.0,392,89.10208333333333,9.289401180419544,67.1,84.0
101.65099999999968,109.6,1.91,498.0,405.0,5.625,3.6590023055937566,36.31041666666667,0.0,0.0,41.7,58.05,80.2,25.875,79.56253394978468,0.0,460,88.14583333333333,128.391023346208,176.5,459,93.60416666666669,144.91328875870994,170.5,610,81.8,13.401746472405684,56.8,69.3
302.9868750000023,109.6,1.91,498.0,405.0,6.3125,4.079821908920858,20.9375,0.0,0.0,3.25,43.825,74.1,319.5625,396.0082691082696,784.5,914,164.45833333333334,224.32726457389364,359.0,595,244.41666666666663,331.0301029785874,539.5,871,77.68124999999999,15.77718061605081,49.6,64.25
165.55212500000067,109.6,1.91,498.0,405.0,5.229166666666667,3.615802099492592,31.822916666666668,0.0,6.875,40.7,46.1,64.3,116.6875,254.85424756122856,13.5,861,127.5,189.9086006365817,212.0,583,161.1875,259.8495191574981,218.0,844,83.68333333333334,9.343704976883384,66.1,76.375
145.1229374999999,109.6,1.91,498.0,405.0,6.0625,2.225636413884467,26.641666666666666,0.0,0.0,23.55,47.325,76.8,68.77083333333333,157.75232939350852,22.0,804,87.875,129.092680709504,156.5,532,103.08333333333331,165.31309216065227,167.25,764,79.78125,13.139232404957657,57.6,68.35000000000001
248.9248749999984,109.6,1.91,498.0,405.0,7.770833333333333,3.177310406371986,23.541666666666668,0.0,0.0,16.5,45.45,70.6,221.1458333333333,320.80914917601,471.0,899,152.0,207.4363270674499,333.75,590,206.8958333333333,288.063618829084,479.25,851,66.47916666666667,19.03364276058549,39.1,47.35
53.33831249999998,109.6,1.91,498.0,405.0,9.416666666666666,2.901454758618865,65.62708333333333,30.7,58.325,68.3,78.7,92.5,0.7083333333333334,4.617074386072291,0.0,32,62.9375,89.84487961824549,110.5,273,60.895833333333336,86.93877512690973,106.5,264,67.94583333333334,8.76785614722548,53.1,60.575
28.07374999999985,109.6,1.91,498.0,405.0,11.125,0.8410985724102966,46.35416666666666,0.0,0.0,61.35,76.125,86.2,6.5,29.6884532321768,0.0,175,45.520833333333336,60.66194768685819,101.0,208,44.6875,58.978234806164416,104.0,201,80.53958333333334,7.806700329554165,64.5,76.525
41.6761875000002,109.6,1.91,498.0,405.0,10.041666666666666,1.7130082203890806,55.93958333333333,0.0,32.15,67.6,77.525,93.2,6.4375,33.026041465692145,0.0,207,55.41666666666666,86.26279327465636,105.0,403,56.0,93.2149198175686,101.0,468,88.23333333333333,4.963497965823856,77.7,86.075
65.987875,109.6,1.91,498.0,405.0,10.416666666666666,1.6089289860865534,62.28958333333333,16.3,48.125,61.35,79.075,93.2,16.354166666666668,58.31845428274895,0.0,355,72.85416666666667,97.89507835048823,160.0,332,74.58333333333333,104.2596662865578,155.0,419,79.925,9.083735757888872,66.3,70.7
20.548999999999968,109.6,1.91,498.0,405.0,7.5625,0.6492630847287492,69.42708333333333,44.3,59.0,69.15,78.475,92.5,0.0,0.0,0.0,0,45.72916666666666,60.10548868034887,86.75,190,44.125,57.942974534212,83.75,183,82.89791666666666,3.749183717304243,78.2,80.4
317.163999999999,109.6,1.91,498.0,405.0,7.479166666666667,2.705310642746755,5.58125,0.0,0.0,0.0,0.0,58.6,335.5625,390.96426926309465,776.0,904,186.5625,244.92698922983453,409.0,645,261.375,343.0857857489563,575.25,902,75.45833333333333,15.100314683677937,51.7,62.7
26.962124999999947,109.6,1.91,498.0,405.0,5.666666666666667,2.808295714965758,39.50833333333333,0.0,0.0,43.2,71.475,89.7,0.0,0.0,0.0,0,43.958333333333336,55.367614135299895,86.25,202,42.4375,53.43793626175036,83.25,195,83.10833333333333,5.365842851178742,72.8,77.975
136.56699999999992,109.6,1.91,498.0,405.0,8.166666666666666,2.739260137206903,21.066666666666663,0.0,0.0,9.2,42.65,76.2,102.625,226.31644434005105,0.0,803,110.47916666666669,155.01887182071533,209.5,559,129.25,195.5121479601715,206.75,739,75.79791666666667,13.539767897431323,52.1,63.775
48.99500000000017,109.6,1.91,498.0,405.0,2.6875,1.8119725938465696,61.175,0.0,45.35,65.65,81.975,97.0,0.0,0.0,0.0,0,66.83333333333333,96.99952474841534,124.0,330,64.54166666666667,93.77178233946802,120.0,319,85.89791666666667,9.097287170648636,73.0,78.39999999999999
54.65687499999992,109.6,1.91,498.0,405.0,-1.8125,0.6069193223401171,46.51458333333333,12.8,36.15,48.75,57.075,96.2,0.0,0.0,0.0,0,97.0,127.33971986508824,202.0,358,93.58333333333331,122.88860780836444,195.0,345,83.15625,2.0224175810995293,79.0,81.9
67.87699999999982,109.6,1.91,498.0,405.0,-0.1458333333333333,1.5977322137800043,37.16666666666666,21.6,27.475,38.05,45.875,53.0,11.041666666666666,33.33834182230713,0.0,174,121.29166666666669,160.95300732628732,234.25,441,121.20833333333331,163.55543771355863,226.5,488,73.90833333333333,6.248841027294346,67.2,68.2
174.1641249999989,109.6,1.91,498.0,405.0,0.25,2.0884688476631807,18.322916666666668,0.0,0.0,0.85,39.5,68.5,145.52083333333334,295.8289463764228,30.5,908,140.3125,192.98066888636745,233.75,643,167.0625,248.9946941458109,241.75,875,69.64583333333333,10.60920833137137,51.2,61.9
336.3419999999985,109.6,1.91,498.0,405.0,1.1666666666666667,2.7392601372069025,0.5083333333333333,0.0,0.0,0.0,0.0,24.4,384.6666666666667,425.3225225954421,869.5,961,214.0833333333333,272.30691643362394,463.5,710,289.3541666666667,369.9712748816975,627.5,965,61.68333333333334,16.941329714112467,37.8,45.325
